Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min
80,172.22.66.10,65223,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444415,0 days 00:00:00.409393,2,0,132,0.0,66.0,0.0,66,66,,,,,322.42857107962277,4.885281379994284,0 days 00:00:00.409393,0 days 00:00:00,0 days 00:00:00.409393,0 days 00:00:00.409393,0 days 00:00:00.409393,0 days 00:00:00.409393,0 days 00:00:00,0 days 00:00:00.409393,0 days 00:00:00.409393,,,,,
81,172.22.66.10,49813,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444709,0 days 00:00:00.410164,2,0,132,0.0,66.0,0.0,66,66,,,,,321.82249051598876,4.876098341151344,0 days 00:00:00.410164,0 days 00:00:00,0 days 00:00:00.410164,0 days 00:00:00.410164,0 days 00:00:00.410164,0 days 00:00:00.410164,0 days 00:00:00,0 days 00:00:00.410164,0 days 00:00:00.410164,,,,,
82,172.22.66.10,58445,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444722,0 days 00:00:00.410148,2,0,132,0.0,66.0,0.0,66,66,,,,,321.8350449106176,4.876288559251782,0 days 00:00:00.410148,0 days 00:00:00,0 days 00:00:00.410148,0 days 00:00:00.410148,0 days 00:00:00.410148,0 days 00:00:00.410148,0 days 00:00:00,0 days 00:00:00.410148,0 days 00:00:00.410148,,,,,
83,172.22.66.10,49481,224.0.0.252,5355,UDP,2024-05-31 12:00:39.445220,0 days 00:00:00.409637,2,0,130,0.0,65.0,0.0,65,65,,,,,317.3541452554335,4.882371465468207,0 days 00:00:00.409637,0 days 00:00:00,0 days 00:00:00.409637,0 days 00:00:00.409637,0 days 00:00:00.409637,0 days 00:00:00.409637,0 days 00:00:00,0 days 00:00:00.409637,0 days 00:00:00.409637,,,,,
84,0.0.0.0,68,255.255.255.255,67,UDP,2024-05-31 12:00:40.001851,0 days 00:00:00,1,0,331,0.0,331.0,0.0,331,331,,,,,,,,,,,,,,,,,,,,
85,172.22.66.10,50294,172.22.66.23,102,TCP,2024-05-31 12:00:40.211784,0 days 00:00:00.010888,10,9,700,631.0,70.0,12.00833044182246,93,60,70.11111111111111,11.713661961283067,87.0,60.0,122244.67303453344,1745.0404114621601,0 days 00:00:00.000604,0 days 00:00:00.001097,0 days 00:00:00.004794,0 days 00:00:00.000003,0 days 00:00:00.009898,0 days 00:00:00.001099,0 days 00:00:00.001498,0 days 00:00:00.004804,0 days 00:00:00.000003,0 days 00:00:00.010639,0 days 00:00:00.001329,0 days 00:00:00.001353,0 days 00:00:00.004805,0 days 00:00:00.000011
86,172.22.66.21,102,172.22.66.10,56956,TCP,2024-05-31 12:00:40.223783,0 days 00:00:00.269573,2,2,120,120.0,60.0,0.0,60,60,60.0,0.0,60.0,60.0,890.2968769127472,14.83828128187912,0 days 00:00:00.089857,0 days 00:00:00.126336,0 days 00:00:00.268524,0 days 00:00:00.000208,0 days 00:00:00.269573,0 days 00:00:00.269573,0 days 00:00:00,0 days 00:00:00.269573,0 days 00:00:00.269573,0 days 00:00:00.268524,0 days 00:00:00.268524,0 days 00:00:00,0 days 00:00:00.268524,0 days 00:00:00.268524
87,172.22.66.10,51912,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858777,0 days 00:00:00.409574,2,0,132,0.0,66.0,0.0,66,66,,,,,322.28608261266584,4.88312246382827,0 days 00:00:00.409574,0 days 00:00:00,0 days 00:00:00.409574,0 days 00:00:00.409574,0 days 00:00:00.409574,0 days 00:00:00.409574,0 days 00:00:00,0 days 00:00:00.409574,0 days 00:00:00.409574,,,,,
88,172.22.66.10,50214,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858966,0 days 00:00:00.409392,2,0,132,0.0,66.0,0.0,66,66,,,,,322.4293586586939,4.885293313010513,0 days 00:00:00.409392,0 days 00:00:00,0 days 00:00:00.409392,0 days 00:00:00.409392,0 days 00:00:00.409392,0 days 00:00:00.409392,0 days 00:00:00,0 days 00:00:00.409392,0 days 00:00:00.409392,,,,,
89,172.22.66.10,60445,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858979,0 days 00:00:00.409356,2,0,132,0.0,66.0,0.0,66,66,,,,,322.45771406795063,4.885722940423494,0 days 00:00:00.409356,0 days 00:00:00,0 days 00:00:00.409356,0 days 00:00:00.409356,0 days 00:00:00.409356,0 days 00:00:00.409356,0 days 00:00:00,0 days 00:00:00.409356,0 days 00:00:00.409356,,,,,
90,172.22.66.10,50295,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858983,0 days 00:00:00.409378,2,0,132,0.0,66.0,0.0,66,66,,,,,322.44038516969647,4.885460381359037,0 days 00:00:00.409378,0 days 00:00:00,0 days 00:00:00.409378,0 days 00:00:00.409378,0 days 00:00:00.409378,0 days 00:00:00.409378,0 days 00:00:00,0 days 00:00:00.409378,0 days 00:00:00.409378,,,,,
91,172.22.66.10,51854,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858987,0 days 00:00:00.409367,2,0,132,0.0,66.0,0.0,66,66,,,,,322.4490493860033,4.885591657363686,0 days 00:00:00.409367,0 days 00:00:00,0 days 00:00:00.409367,0 days 00:00:00.409367,0 days 00:00:00.409367,0 days 00:00:00.409367,0 days 00:00:00,0 days 00:00:00.409367,0 days 00:00:00.409367,,,,,
92,172.22.66.10,51953,224.0.0.252,5355,UDP,2024-05-31 12:00:41.858990,0 days 00:00:00.409375,2,0,132,0.0,66.0,0.0,66,66,,,,,322.44274809160305,4.885496183206107,0 days 00:00:00.409375,0 days 00:00:00,0 days 00:00:00.409375,0 days 00:00:00.409375,0 days 00:00:00.409375,0 days 00:00:00.409375,0 days 00:00:00,0 days 00:00:00.409375,0 days 00:00:00.409375,,,,,
93,172.22.66.10,57916,224.0.0.252,5355,UDP,2024-05-31 12:00:41.859243,0 days 00:00:00.410075,2,0,130,0.0,65.0,0.0,65,65,,,,,317.01518014997254,4.8771566176918855,0 days 00:00:00.410075,0 days 00:00:00,0 days 00:00:00.410075,0 days 00:00:00.410075,0 days 00:00:00.410075,0 days 00:00:00.410075,0 days 00:00:00,0 days 00:00:00.410075,0 days 00:00:00.410075,,,,,
94,172.22.66.10,50238,224.0.0.252,5355,UDP,2024-05-31 12:00:41.859257,0 days 00:00:00.410065,2,0,132,0.0,66.0,0.0,66,66,,,,,321.9001865557899,4.877275553875605,0 days 00:00:00.410065,0 days 00:00:00,0 days 00:00:00.410065,0 days 00:00:00.410065,0 days 00:00:00.410065,0 days 00:00:00.410065,0 days 00:00:00,0 days 00:00:00.410065,0 days 00:00:00.410065,,,,,
95,172.22.66.10,53415,224.0.0.252,5355,UDP,2024-05-31 12:00:41.859476,0 days 00:00:00.409856,2,0,132,0.0,66.0,0.0,66,66,,,,,322.06433479075577,4.8797626483447845,0 days 00:00:00.409856,0 days 00:00:00,0 days 00:00:00.409856,0 days 00:00:00.409856,0 days 00:00:00.409856,0 days 00:00:00.409856,0 days 00:00:00,0 days 00:00:00.409856,0 days 00:00:00.409856,,,,,
96,172.22.66.10,55423,224.0.0.252,5355,UDP,2024-05-31 12:00:41.859481,0 days 00:00:00.409844,2,0,132,0.0,66.0,0.0,66,66,,,,,322.07376465191635,4.879905525029035,0 days 00:00:00.409844,0 days 00:00:00,0 days 00:00:00.409844,0 days 00:00:00.409844,0 days 00:00:00.409844,0 days 00:00:00.409844,0 days 00:00:00,0 days 00:00:00.409844,0 days 00:00:00.409844,,,,,
